CCAA,Sex,Year,Inf_Secundaria_25_64,Inf_Secundaria_25_34,Inf_Secundaria_55_64,Segunda_Etapa_25_64,Segunda_Etapa_25_34,Segunda_Etapa_55_64,Superior_25_64,Superior_25_34,Superior_55_64,Age12_Suitability,Age15_Suitability
Galicia,Male,2018,44.5,32.4,57.2,22.1,26.4,19.3,33.4,41.3,23.5,84.1,65.6
"Madrid, Comunidad de",Male,2018,30.0,28.7,40.9,23.8,24.5,23.8,46.2,46.7,35.3,83.0,65.9
"Murcia, Region de",Male,2018,49.1,41.3,59.0,21.7,24.7,20.1,29.3,33.9,21.0,79.5,59.5
"Navarra, Comunidad Foral de",Male,2018,34.2,29.4,44.5,25.0,25.0,21.7,40.8,45.6,33.8,83.5,70.7
Pais Vasco,Male,2018,29.1,19.0,42.3,22.8,25.9,19.8,48.1,55.2,37.9,85.9,71.7
"Rioja, La",Male,2018,41.8,34.5,46.6,22.0,24.0,21.8,36.2,41.5,31.7,81.9,65.1
Ceuta y Melilla,Male,2018,50.3,50.8,53.3,24.4,22.6,22.5,25.3,26.5,24.2,77.7,47.3
Andalucia,Female,2018,46.6,33.6,62.9,20.9,26.1,17.0,32.5,40.3,20.1,88.9,69.9
Aragon,Female,2018,32.9,23.3,47.7,26.2,24.6,26.6,40.9,52.1,25.6,84.8,64.4
"Asturias, Principado de",Female,2018,31.0,25.5,46.6,23.8,21.1,25.5,45.2,53.4,28.0,89.7,75.4
"Balears, Illes",Female,2018,37.9,27.2,54.3,28.4,27.1,26.1,33.7,45.7,19.6,85.0,71.0
Canarias,Female,2018,42.2,31.0,59.0,25.2,24.0,19.9,32.6,44.9,21.1,86.9,69.3
Cantabria,Female,2018,28.2,13.5,44.7,27.4,26.6,26.1,44.4,60.0,29.2,90.4,76.8
Castilla y Leon,Female,2018,35.4,23.2,53.1,23.9,25.0,22.3,40.7,51.8,24.6,86.2,73.6
Castilla-La Mancha,Female,2018,47.3,34.5,67.3,21.4,22.0,16.5,31.3,43.5,16.3,85.0,68.7
Cataluna,Female,2018,34.7,25.6,54.4,22.0,19.9,20.7,43.3,54.5,24.8,94.0,85.0
Comunitat Valenciana,Female,2018,36.9,26.3,57.4,23.6,23.8,19.9,39.5,49.9,22.7,87.1,72.3
Extremadura,Female,2018,50.4,34.2,65.4,18.9,19.0,17.1,30.7,46.7,17.5,86.9,72.8
Galicia,Female,2018,37.8,22.3,60.1,21.9,23.5,19.0,40.4,54.2,20.8,90.3,74.7
"Madrid, Comunidad de",Female,2018,25.6,21.0,41.2,26.4,22.3,27.9,48.1,56.7,30.9,86.7,72.9
"Murcia, Region de",Female,2018,44.6,31.9,63.8,22.2,24.5,17.1,33.2,43.6,19.1,85.6,67.6
"Navarra, Comunidad Foral de",Female,2018,28.3,20.1,47.5,21.7,18.6,18.8,50.0,61.3,33.6,87.0,77.6
Pais Vasco,Female,2018,27.4,15.8,44.5,21.6,20.8,24.4,51.0,63.5,31.2,90.3,81.0
"Rioja, La",Female,2018,34.7,25.8,45.9,24.1,23.4,23.7,41.3,50.8,30.4,86.9,70.3
Ceuta y Melilla,Female,2018,51.7,38.7,69.3,17.1,20.0,11.8,31.3,41.3,18.9,83.4,56.4
Andalucia,Male,2017,53.0,50.3,61.7,19.7,22.6,15.5,27.3,27.1,22.9,83.9,60.2
Aragon,Male,2017,38.6,31.7,54.5,26.8,26.9,21.2,34.5,41.4,24.3,78.3,55.1
"Asturias, Principado de",Male,2017,36.6,24.3,44.9,23.5,24.8,24.2,39.9,50.9,30.9,85.5,67.5
"Balears, Illes",Male,2017,45.3,40.3,52.4,25.6,26.8,21.7,29.1,32.9,25.9,77.1,59.1
Canarias,Male,2017,48.0,42.5,61.6,24.3,26.1,19.8,27.7,31.4,18.6,78.3,57.8
Cantabria,Male,2017,37.4,30.2,46.7,24.5,28.7,23.2,38.0,41.1,30.1,84.9,69.3
Castilla y Leon,Male,2017,43.9,34.5,52.0,25.4,29.4,23.7,30.7,36.1,24.3,81.8,63.8
Castilla-La Mancha,Male,2017,54.0,50.9,64.2,21.4,21.8,17.8,24.6,27.3,18.0,78.3,58.3
Cataluna,Male,2017,41.8,38.9,54.8,21.8,21.5,19.3,36.5,39.6,25.9,91.5,75.2
Comunitat Valenciana,Male,2017,45.9,40.2,57.2,23.8,25.7,21.3,30.3,34.2,21.5,81.8,62.2
Extremadura,Male,2017,59.4,49.4,68.7,16.4,20.8,14.9,24.2,29.8,16.3,81.2,63.2
Galicia,Male,2017,46.0,34.6,58.3,21.2,24.6,19.2,32.9,40.8,22.5,84.0,64.5
"Madrid, Comunidad de",Male,2017,28.3,29.0,40.5,26.1,25.2,25.3,45.6,45.8,34.2,82.4,64.8
"Murcia, Region de",Male,2017,50.8,45.8,60.0,21.7,24.8,19.5,27.5,29.3,20.4,77.9,58.3
"Navarra, Comunidad Foral de",Male,2017,34.4,26.4,47.4,23.3,23.0,18.5,42.3,50.6,34.1,84.7,69.9
Pais Vasco,Male,2017,29.7,22.9,41.2,22.2,25.2,23.1,48.1,51.9,35.8,85.9,72.2
"Rioja, La",Male,2017,41.5,38.6,47.7,23.2,22.8,24.8,35.3,38.6,27.4,81.5,63.7
Ceuta y Melilla,Male,2017,48.9,45.7,53.6,23.9,26.0,22.7,27.2,28.3,23.7,77.9,49.4
Andalucia,Female,2017,48.0,36.8,63.0,20.0,22.6,16.1,32.0,40.7,20.9,88.1,69.6
Aragon,Female,2017,33.9,23.9,51.5,27.4,28.0,25.2,38.6,48.1,23.4,83.3,62.1
"Asturias, Principado de",Female,2017,33.3,23.5,50.3,23.5,20.7,23.8,43.2,55.7,25.9,89.1,76.1
"Balears, Illes",Female,2017,38.0,30.9,58.6,28.8,25.7,21.9,33.3,43.4,19.5,82.9,69.2
Canarias,Female,2017,42.3,28.1,61.4,26.1,28.6,18.2,31.6,43.3,20.3,85.3,68.3
Cantabria,Female,2017,31.1,20.9,47.2,26.1,25.1,25.7,42.8,54.1,27.1,88.9,74.1
Castilla y Leon,Female,2017,36.3,25.7,53.3,23.6,25.7,21.8,40.1,48.6,25.0,86.1,73.0
Castilla-La Mancha,Female,2017,46.9,35.4,67.5,22.3,22.4,16.7,30.9,42.3,15.8,84.4,67.4
Cataluna,Female,2017,36.8,28.0,58.2,21.2,18.9,18.9,42.1,53.2,22.9,93.5,83.2
Comunitat Valenciana,Female,2017,39.4,29.0,57.6,24.3,24.3,20.7,36.3,46.7,21.6,86.6,71.9
Extremadura,Female,2017,54.3,34.6,73.1,16.8,20.2,13.8,28.9,45.2,13.2,86.6,71.5
Galicia,Female,2017,39.4,23.3,62.5,20.5,23.5,16.6,40.1,53.3,20.9,89.3,74.3
"Madrid, Comunidad de",Female,2017,26.0,20.0,43.5,25.7,24.0,27.5,48.4,56.0,29.0,86.0,71.9
"Murcia, Region de",Female,2017,45.8,34.0,63.4,21.8,22.6,17.8,32.4,43.4,18.9,83.6,65.3
"Navarra, Comunidad Foral de",Female,2017,29.8,25.9,45.0,21.5,20.6,21.0,48.7,53.6,34.0,88.4,77.3
Pais Vasco,Female,2017,27.8,15.8,48.7,20.9,21.3,22.4,51.3,62.9,29.0,89.5,80.5
"Rioja, La",Female,2017,35.8,22.6,52.5,23.8,25.4,21.2,40.4,52.0,26.3,86.8,71.6
Ceuta y Melilla,Female,2017,51.9,38.3,61.1,21.6,24.2,18.0,26.5,37.5,20.9,84.5,60.8
Andalucia,Male,2016,53.3,50.2,62.2,19.8,22.2,15.2,26.9,27.6,22.6,84.2,59.6
Aragon,Male,2016,38.5,32.3,51.2,27.9,30.1,22.1,33.5,37.6,26.7,79.6,54.5
"Asturias, Principado de",Male,2016,38.5,35.3,48.0,23.8,21.8,21.9,37.7,42.8,30.2,86.0,66.8
"Balears, Illes",Male,2016,45.4,43.9,54.3,28.1,29.4,23.9,26.4,26.6,21.8,77.6,57.3
Canarias,Male,2016,48.5,41.3,62.1,24.1,28.9,19.6,27.4,29.9,18.3,80.0,56.8
Cantabria,Male,2016,39.8,35.7,55.2,24.9,30.8,21.9,35.3,33.4,23.0,85.9,69.2
Castilla y Leon,Male,2016,45.5,36.2,55.4,25.0,27.1,21.7,29.6,36.7,22.9,82.7,62.6
Castilla-La Mancha,Male,2016,54.3,51.3,66.8,21.1,20.7,16.7,24.6,28.0,16.5,80.1,58.3
Cataluna,Male,2016,42.2,38.9,54.8,22.6,22.8,19.8,35.2,38.3,25.4,91.3,73.9
Comunitat Valenciana,Male,2016,46.1,42.3,59.4,23.3,25.4,18.6,30.6,32.3,22.0,80.1,58.8
Extremadura,Male,2016,61.9,50.8,71.5,16.5,21.9,13.1,21.6,27.3,15.3,83.1,62.0
Galicia,Male,2016,46.5,37.6,59.4,21.5,25.0,19.0,32.0,37.4,21.6,85.2,63.5
"Madrid, Comunidad de",Male,2016,30.4,32.0,42.2,24.6,24.6,24.2,45.0,43.4,33.6,84.3,64.5
"Murcia, Region de",Male,2016,51.9,42.8,61.5,21.7,27.6,16.8,26.4,29.6,21.8,78.7,57.3
"Navarra, Comunidad Foral de",Male,2016,33.8,25.1,43.0,24.3,23.8,23.7,41.9,51.1,33.3,84.1,69.5
Pais Vasco,Male,2016,30.7,25.4,40.9,22.2,23.6,22.9,47.1,51.0,36.2,86.1,71.7
"Rioja, La",Male,2016,44.0,41.9,55.4,22.7,23.2,21.6,33.4,34.9,23.0,86.6,64.3
Ceuta y Melilla,Male,2016,49.3,51.9,54.1,23.2,24.1,20.3,27.5,24.0,25.6,75.4,48.4
Andalucia,Female,2016,48.4,36.9,64.3,20.2,24.9,16.1,31.4,38.1,19.7,88.5,68.3
Aragon,Female,2016,34.0,24.9,54.4,26.9,26.8,25.3,39.1,48.4,20.3,84.2,59.5
"Asturias, Principado de",Female,2016,32.9,16.9,50.6,23.4,20.4,22.9,43.6,62.7,26.5,89.6,74.6
"Balears, Illes",Female,2016,39.1,32.9,58.9,29.0,28.9,23.0,32.0,38.2,18.2,84.6,68.5
Canarias,Female,2016,43.7,29.6,63.2,24.9,29.7,18.0,31.3,40.7,18.8,86.7,67.8
Cantabria,Female,2016,33.3,26.7,52.9,23.8,21.3,22.8,42.9,52.0,24.3,90.1,75.5
Castilla y Leon,Female,2016,38.1,27.9,55.9,22.8,22.5,20.9,39.1,49.6,23.2,86.9,72.2
Castilla-La Mancha,Female,2016,47.2,35.8,68.7,22.4,24.1,16.0,30.4,40.1,15.3,85.1,66.6
Cataluna,Female,2016,37.0,26.2,60.7,21.1,22.2,17.7,41.9,51.5,21.6,93.5,81.9
Comunitat Valenciana,Female,2016,40.5,30.3,61.8,24.2,24.8,18.3,35.3,44.9,19.9,84.4,68.2
Extremadura,Female,2016,53.4,33.6,71.3,17.9,24.6,14.1,28.7,41.8,14.6,88.1,70.5
Galicia,Female,2016,40.5,22.1,63.5,20.2,25.2,16.8,39.3,52.7,19.7,90.0,73.3
"Madrid, Comunidad de",Female,2016,27.4,22.9,47.3,24.4,24.4,25.1,48.2,52.7,27.5,87.3,71.6
"Murcia, Region de",Female,2016,47.9,37.1,67.4,21.7,22.7,17.7,30.4,40.3,14.9,85.2,66.6
"Navarra, Comunidad Foral de",Female,2016,30.3,23.5,48.9,22.5,23.0,20.8,47.1,53.5,30.3,88.6,78.0
Pais Vasco,Female,2016,28.2,17.3,50.0,21.6,19.3,21.7,50.1,63.4,28.2,89.6,80.7
"Rioja, La",Female,2016,35.4,25.3,54.5,23.1,22.4,18.6,41.5,52.3,26.9,91.2,71.9
Ceuta y Melilla,Female,2016,53.1,44.8,64.8,19.3,18.7,15.2,27.7,36.5,20.0,82.8,59.8
Andalucia,Male,2015,53.7,49.6,63.9,20.0,22.3,14.4,26.3,28.1,21.7,83.0,59.2
Aragon,Male,2015,40.9,36.0,52.5,26.1,28.1,19.2,33.0,35.9,28.3,76.0,52.3
"Asturias, Principado de",Male,2015,39.5,32.1,52.3,23.3,23.9,22.2,37.2,44.0,25.5,85.6,65.7
"Balears, Illes",Male,2015,48.8,47.0,58.6,27.3,30.8,23.0,23.9,22.1,18.4,77.6,55.5
Canarias,Male,2015,52.1,44.0,61.8,23.6,28.1,20.1,24.3,27.9,18.2,78.1,54.8
Cantabria,Male,2015,40.0,33.5,50.4,24.0,29.9,23.2,36.0,36.6,26.4,86.2,62.8
Castilla y Leon,Male,2015,46.1,38.6,55.1,23.3,25.2,21.7,30.6,36.2,23.2,81.3,59.8
Castilla-La Mancha,Male,2015,53.0,49.6,64.3,21.2,22.7,17.1,25.7,27.8,18.6,79.1,54.7
Cataluna,Male,2015,43.2,38.8,56.6,22.4,23.8,17.0,34.4,37.3,26.4,90.9,72.2
Comunitat Valenciana,Male,2015,45.8,39.7,60.9,24.0,25.0,17.4,30.2,35.3,21.7,79.4,57.7
Extremadura,Male,2015,60.1,47.8,71.3,16.2,20.1,14.0,23.7,32.2,14.7,83.1,59.4
Galicia,Male,2015,47.2,37.6,60.9,20.6,25.5,15.9,32.1,36.9,23.2,83.4,61.7
"Madrid, Comunidad de",Male,2015,29.2,29.9,38.1,25.7,27.5,22.9,45.1,42.6,39.0,83.3,62.8
"Murcia, Region de",Male,2015,52.0,47.5,62.8,21.1,23.2,15.7,26.9,29.3,21.4,77.4,54.9
"Navarra, Comunidad Foral de",Male,2015,36.1,30.8,48.1,23.4,27.0,20.7,40.5,42.2,31.2,84.8,68.8
Pais Vasco,Male,2015,30.3,24.0,38.8,23.0,25.3,21.7,46.8,50.7,39.5,85.0,69.8
"Rioja, La",Male,2015,39.5,34.1,53.7,23.7,27.5,18.8,36.8,38.3,27.5,86.3,64.0
Ceuta y Melilla,Male,2015,48.9,51.9,57.8,21.9,17.4,22.2,29.3,30.6,20.0,72.1,48.8
Andalucia,Female,2015,49.2,35.8,68.8,20.5,25.6,14.7,30.3,38.7,16.5,87.5,67.3
Aragon,Female,2015,37.0,24.7,62.0,24.8,25.4,18.4,38.2,50.0,19.6,82.1,56.1
"Asturias, Principado de",Female,2015,34.0,18.1,55.1,23.9,22.7,22.9,42.0,59.2,21.9,88.8,73.4
"Balears, Illes",Female,2015,41.9,34.3,63.0,27.4,25.7,18.6,30.7,39.9,18.4,82.7,66.7
Canarias,Female,2015,46.6,30.7,65.7,24.6,32.8,17.1,28.9,36.5,17.2,84.3,64.7
Cantabria,Female,2015,35.3,24.2,58.9,24.6,27.3,21.6,40.1,48.5,19.6,91.1,71.2
Castilla y Leon,Female,2015,38.8,28.3,56.0,22.2,20.7,21.5,39.0,51.0,22.5,85.6,68.7
Castilla-La Mancha,Female,2015,47.7,33.4,72.0,22.9,27.2,15.6,29.4,39.4,12.4,85.0,64.1
Cataluna,Female,2015,39.3,28.0,65.4,20.1,22.3,14.8,40.6,49.8,19.8,93.5,81.2
Comunitat Valenciana,Female,2015,41.6,28.3,62.1,23.5,26.1,17.6,34.8,45.7,20.3,84.2,65.5
Extremadura,Female,2015,52.7,33.1,74.4,17.8,22.4,11.7,29.4,44.5,13.9,89.4,69.3
Galicia,Female,2015,42.1,23.6,66.2,19.7,22.6,15.5,38.1,53.9,18.2,89.2,71.9
"Madrid, Comunidad de",Female,2015,27.8,21.7,48.8,23.6,23.2,23.7,48.5,55.1,27.5,86.6,70.8
"Murcia, Region de",Female,2015,49.2,37.8,70.2,22.0,24.3,16.2,28.8,37.9,13.6,83.1,64.6
"Navarra, Comunidad Foral de",Female,2015,33.4,16.0,60.7,22.5,25.2,17.5,44.2,58.9,21.8,88.0,76.7
Pais Vasco,Female,2015,29.8,18.5,52.1,21.4,19.9,23.2,48.8,61.6,24.7,89.6,78.7
"Rioja, La",Female,2015,34.4,26.3,53.0,23.9,26.9,21.3,41.8,46.7,25.6,88.3,68.2
Ceuta y Melilla,Female,2015,54.4,46.2,71.6,18.9,21.1,11.8,26.7,32.6,16.6,82.0,59.2
Andalucia,Male,2014,54.8,49.9,65.7,19.5,23.4,13.5,25.6,26.6,20.8,82.1,54.5
Aragon,Male,2014,41.3,31.8,57.1,25.8,31.2,19.5,32.9,37.0,23.4,79.8,56.8
"Asturias, Principado de",Male,2014,42.0,33.2,56.6,20.8,21.6,15.8,37.2,45.2,27.6,85.0,64.8
"Balears, Illes",Male,2014,50.5,50.4,62.7,25.1,27.2,18.8,24.4,22.4,18.5,76.2,51.2
Canarias,Male,2014,53.3,46.2,64.1,22.4,24.7,18.7,24.3,29.1,17.2,76.9,52.2
Cantabria,Male,2014,38.2,31.8,44.7,26.7,30.7,26.4,35.2,37.5,28.9,84.3,61.8
Castilla y Leon,Male,2014,45.4,39.1,57.6,23.8,27.1,20.5,30.8,33.9,21.9,81.3,58.7
Castilla-La Mancha,Male,2014,54.2,51.8,65.3,20.8,24.2,16.5,25.1,24.0,18.2,78.3,52.4
Cataluna,Male,2014,44.0,39.0,57.8,21.4,21.8,17.4,34.6,39.2,24.8,90.5,70.9
Comunitat Valenciana,Male,2014,46.4,40.9,58.3,22.7,24.3,18.4,30.9,34.8,23.3,79.8,55.2
Extremadura,Male,2014,60.0,46.5,71.1,15.4,19.6,13.2,24.6,33.9,15.8,81.7,55.2
Galicia,Male,2014,49.3,40.2,63.2,20.2,25.1,15.3,30.4,34.6,21.5,83.1,58.1
"Madrid, Comunidad de",Male,2014,27.5,24.3,42.4,25.0,27.3,22.7,47.5,48.4,34.9,82.9,61.0
"Murcia, Region de",Male,2014,52.5,49.2,66.3,21.1,23.6,16.5,26.4,27.2,17.2,76.9,49.4
"Navarra, Comunidad Foral de",Male,2014,35.8,29.4,52.4,22.9,30.9,20.3,41.2,39.6,27.3,83.9,65.1
Pais Vasco,Male,2014,31.1,23.5,39.9,22.6,23.3,22.3,46.2,53.2,37.9,84.7,68.2
"Rioja, La",Male,2014,41.1,33.1,56.0,24.1,26.5,21.0,34.8,40.4,23.0,85.3,57.9
Ceuta y Melilla,Male,2014,47.3,57.1,50.3,26.5,19.4,28.0,26.2,23.4,21.7,75.7,40.8
Andalucia,Female,2014,50.0,37.2,71.8,20.5,24.4,13.5,29.5,38.4,14.7,87.4,65.1
Aragon,Female,2014,36.6,24.5,61.2,24.9,25.4,21.6,38.6,50.1,17.2,84.2,64.0
"Asturias, Principado de",Female,2014,36.1,22.1,58.9,23.7,19.5,23.7,40.2,58.3,17.4,88.6,73.6
"Balears, Illes",Female,2014,43.7,31.4,68.5,24.9,23.8,15.4,31.4,44.8,16.1,82.7,63.2
Canarias,Female,2014,47.8,33.4,69.3,22.4,26.1,13.9,29.8,40.5,16.8,84.6,63.0
Cantabria,Female,2014,34.0,20.2,57.8,26.3,28.0,21.9,39.7,51.8,20.3,87.8,66.3
Castilla y Leon,Female,2014,39.1,25.3,58.8,22.6,23.5,20.4,38.3,51.2,20.8,86.3,67.8
Castilla-La Mancha,Female,2014,48.0,32.9,73.4,22.5,27.5,14.8,29.5,39.7,11.9,84.5,63.9
Cataluna,Female,2014,41.3,30.1,69.2,19.3,17.6,13.2,39.4,52.3,17.6,93.1,79.7
Comunitat Valenciana,Female,2014,43.0,27.2,66.9,23.9,27.8,15.6,33.0,45.0,17.5,84.2,65.2
Extremadura,Female,2014,54.5,35.3,74.1,16.4,19.5,9.6,29.1,45.1,16.3,87.4,65.7
Galicia,Female,2014,44.6,25.9,70.6,19.0,21.9,13.1,36.3,52.2,16.3,88.4,68.4
"Madrid, Comunidad de",Female,2014,28.3,19.6,49.7,24.8,25.4,25.7,47.0,55.0,24.6,86.3,68.8
"Murcia, Region de",Female,2014,49.8,38.6,70.6,22.3,25.3,15.0,27.9,36.1,14.4,82.4,60.2
"Navarra, Comunidad Foral de",Female,2014,33.6,18.9,61.0,22.1,23.8,18.7,44.3,57.3,20.3,87.6,73.8
Pais Vasco,Female,2014,32.1,16.1,57.1,20.2,21.9,20.7,47.7,62.0,22.2,89.1,77.4
"Rioja, La",Female,2014,36.7,27.2,60.8,24.3,27.7,20.0,39.0,45.1,19.2,90.4,65.1
Ceuta y Melilla,Female,2014,56.2,47.9,73.7,19.0,26.8,11.6,24.7,25.4,14.7,81.4,51.3
Andalucia,Male,2013,54.7,50.6,66.4,19.3,21.8,13.5,26.0,27.7,20.2,80.9,53.1
Aragon,Male,2013,42.6,34.8,58.8,25.2,27.9,17.0,32.1,37.3,24.2,78.6,55.7
"Asturias, Principado de",Male,2013,41.6,33.7,54.3,21.5,21.5,16.6,36.9,44.7,29.1,84.5,63.3
"Balears, Illes",Male,2013,48.2,44.2,60.2,26.9,29.6,20.1,24.9,26.2,19.7,74.2,51.3
Canarias,Male,2013,53.4,45.3,63.6,21.3,24.2,17.8,25.3,30.4,18.5,75.9,51.2
Cantabria,Male,2013,38.1,29.8,47.7,26.0,26.6,25.8,35.9,43.6,26.5,86.2,58.8
Castilla y Leon,Male,2013,45.5,39.1,58.6,23.5,25.5,19.7,31.0,35.4,21.7,80.4,57.2
Castilla-La Mancha,Male,2013,55.8,49.9,68.6,19.9,23.3,14.7,24.3,26.9,16.7,77.7,52.1
Cataluna,Male,2013,47.1,42.9,59.1,21.0,20.2,19.5,31.9,36.9,21.4,89.9,69.6
Comunitat Valenciana,Male,2013,49.3,43.5,62.2,20.7,21.9,15.8,30.0,34.6,22.1,80.1,54.2
Extremadura,Male,2013,63.0,52.2,74.8,15.2,21.1,11.5,21.8,26.7,13.8,80.7,52.5
Galicia,Male,2013,51.0,41.3,65.5,19.5,23.1,14.9,29.6,35.5,19.6,82.7,57.2
"Madrid, Comunidad de",Male,2013,29.9,25.0,46.9,24.1,25.9,21.4,46.0,49.1,31.7,82.3,59.4
"Murcia, Region de",Male,2013,53.8,56.7,63.1,19.6,20.1,14.5,26.6,23.2,22.5,75.8,51.4
"Navarra, Comunidad Foral de",Male,2013,36.2,30.7,50.8,25.0,28.6,22.2,38.8,40.7,27.1,82.5,63.6
Pais Vasco,Male,2013,32.7,22.6,44.8,21.1,22.0,19.2,46.1,55.4,36.0,85.3,68.2
"Rioja, La",Male,2013,43.4,36.7,57.9,23.0,23.8,18.6,33.6,39.5,23.4,86.7,53.9
Ceuta y Melilla,Male,2013,49.9,68.9,42.4,27.2,15.4,32.5,22.9,15.7,25.1,76.9,39.2
Andalucia,Female,2013,51.2,38.2,73.0,20.2,25.3,13.5,28.7,36.5,13.5,86.5,63.1
Aragon,Female,2013,37.9,23.8,63.3,24.5,25.5,18.4,37.6,50.7,18.3,83.5,65.0
"Asturias, Principado de",Female,2013,38.7,23.1,61.7,22.9,23.6,19.4,38.4,53.3,18.9,87.8,70.5
"Balears, Illes",Female,2013,44.2,34.6,68.6,27.1,30.2,19.9,28.7,35.2,11.4,82.5,61.6
Canarias,Female,2013,46.9,33.9,66.7,23.7,26.6,15.5,29.3,39.5,17.8,84.2,63.6
Cantabria,Female,2013,35.6,20.5,60.6,25.9,28.7,21.7,38.5,50.8,17.7,89.7,68.3
Castilla y Leon,Female,2013,39.9,24.5,64.7,23.5,26.6,16.3,36.6,48.8,19.0,85.8,66.5
Castilla-La Mancha,Female,2013,50.4,34.2,76.2,21.3,26.0,11.3,28.3,39.9,12.5,83.3,61.6
Cataluna,Female,2013,40.8,30.3,64.2,21.4,19.3,19.6,37.7,50.4,16.2,92.4,78.0
Comunitat Valenciana,Female,2013,45.5,28.3,69.6,22.9,27.9,15.5,31.7,43.9,14.9,84.9,64.2
Extremadura,Female,2013,56.8,36.9,76.2,15.8,20.0,9.2,27.4,43.1,14.6,87.9,63.6
Galicia,Female,2013,46.6,25.8,72.8,18.8,23.4,12.4,34.7,50.8,14.8,87.8,69.0
"Madrid, Comunidad de",Female,2013,29.2,18.8,51.9,24.8,25.5,21.5,46.0,55.7,26.6,86.0,67.1
"Murcia, Region de",Female,2013,50.4,40.8,70.8,19.8,21.8,13.9,29.8,37.4,15.3,82.8,60.0
"Navarra, Comunidad Foral de",Female,2013,35.4,24.8,61.2,22.6,21.0,19.1,41.9,54.2,19.7,86.6,74.6
Pais Vasco,Female,2013,31.1,12.4,56.6,21.5,20.0,21.4,47.5,67.6,22.1,89.2,77.6
"Rioja, La",Female,2013,39.2,25.5,66.0,23.9,27.7,18.9,36.8,46.8,15.1,87.4,64.6
Ceuta y Melilla,Female,2013,57.3,53.4,71.6,16.3,17.3,12.2,26.4,29.3,16.1,84.5,47.4
