CCAA,Sex,Year,Inf_Secundaria_25_64,Inf_Secundaria_25_34,Inf_Secundaria_55_64,Segunda_Etapa_25_64,Segunda_Etapa_25_34,Segunda_Etapa_55_64,Superior_25_64,Superior_25_34,Superior_55_64,Age12_Suitability,Age15_Suitability
Comunitat Valenciana,Male,2023,43.2,34.0,50.2,21.6,20.7,20.5,35.2,45.4,29.4,86.2,69.5
Extremadura,Male,2023,52.6,38.1,63.9,18.1,24.1,16.0,29.3,37.8,20.2,84.5,71.2
Galicia,Male,2023,39.2,24.7,50.4,24.2,30.7,20.9,36.7,44.5,28.7,87.7,74.5
"Madrid, Comunidad de",Male,2023,27.8,23.4,30.4,24.4,23.7,29.8,47.7,53.0,39.8,84.9,70.5
"Murcia, Region de",Male,2023,49.4,40.6,52.2,21.3,22.4,23.1,29.3,37.1,24.7,80.3,65.7
"Navarra, Comunidad Foral de",Male,2023,30.2,21.6,37.6,25.8,27.0,23.1,44.0,51.4,39.3,83.8,73.2
Pais Vasco,Male,2023,24.1,14.1,34.2,23.3,22.4,22.5,52.6,63.5,43.4,87.0,76.5
"Rioja, La",Male,2023,43.5,34.8,51.4,22.4,24.0,22.2,34.2,41.2,26.4,81.1,70.4
Ceuta y Meliilla,Male,2023,54.4,41.0,54.2,21.2,23.0,22.3,24.4,36.1,23.5,79.6,56.2
Andalucia,Female,2023,39.5,26.3,54.2,21.6,22.4,20.3,38.9,51.3,25.6,89.9,74.0
Aragon,Female,2023,30.7,22.4,37.5,23.6,24.7,27.3,45.7,52.9,35.2,86.9,77.0
"Asturias, Principado de",Female,2023,26.4,12.0,41.7,24.8,24.3,25.2,48.7,63.6,33.1,92.3,81.7
"Balears, Illes",Female,2023,35.3,28.6,49.4,27.3,24.0,26.6,37.4,47.4,24.1,89.7,76.1
Canarias,Female,2023,33.9,21.5,50.0,27.1,28.4,24.4,39.0,50.2,25.6,91.2,75.7
Cantabria,Female,2023,23.1,13.0,35.8,23.6,19.7,27.1,53.3,67.3,37.1,90.7,79.9
Castilla y Leon,Female,2023,30.3,21.9,42.4,23.8,24.3,22.4,45.9,53.8,35.2,87.2,75.8
Castilla-La Mancha,Female,2023,40.8,25.5,56.3,23.4,21.6,19.9,35.7,52.9,23.8,85.5,72.8
